245
22 71 4.84119 1986
24 71.2 4.7 1906
24 71.2 5.45275 1959
24.5 71 4.73252 1986
21.33 71.37 3 1956
23.2 71.38 3.3 1956
20.6 71.4 5.5152 1961
20.6 71.4 4.2 1962
20.6 71.4 4.2 1962
22.3 71.6 3.8 1896
22.23 71.78 5.3903 1960
22.4 71.8 3.5 1896
22.4 71.8 3.3 1958
22.4 71.8 4.94986 1985
21.86 72.04 3.3 1961
21.75 72.15 3.8 1956
21.72 72.16 4.6 1962
22.07 72.19 4.2 1960
22 72 4.2 1958
22 72 4.40651 1987
24.23 72.22 5.7 1845
24.23 72.22 4.2 1861
24.2 72.2 5 2006
21.9 72.27 3.8 1960
21 72.4 3.8 1891
24.5 72.4 2.9 2014
24.8 72.4 4.62385 1986
22.11 72.43 3.8 1960
24.76 72.54 3.8 1959
23.05 72.67 6.0148 1955
21.6 72.7 5.2 1959
23 72.7 4.2 1870
23 72.7 3.8 1956
23.1 72.7 4.51518 1985
24.4 72.7 3.3 1875
24.4 72.7 6.7642 1957
24.4 72.7 5.1672 1985
22.82 72.82 5.70255 1960
22.3 72.8 5.2654 1955
21.17 72.9 3.8 1861
21.2 72.9 5.8899 1955
21.2 72.9 4.7 1956
21.6 72.96 5.765 1959
21.16 73.05 6.2646 1963
21.4 73.06 3 1962
20.88 73.1 5.20295 1987
20.88 73.1 4.29784 1996
22 73.1 3.8 1861
20.55 73.15 5.07805 1961
21.2 73 3 2008
20.66 73.21 5.765 1961
21.68 73.21 5.70255 1960
21.6 73 4.94986 1985
21.7 73 4.2 1959
24 73 6.3 1938
24 73 5.6401 1959
20.71 73.37 4.29784 1994
21.83 73.85 3.3 1960
22.48 74.2 3.8 1865
21.97 74.27 3.8 1959
22 74.3 3.3 1948
